0034 Total Eclipse - Virtual Terminal Energised,29,3,Bungee,-1
0034 Total Eclipse - Virtual Terminal Energised,29,3,Pedalboard,1
0026 Total Eclipse - Speed,5,2,1.0,Rubberband,1
0026 Total Eclipse - Speed,5,2,1.0,Bungee,-1
0026 Total Eclipse - Speed,5,0,0.9,Rubberband,1
0029 Total Eclipse - Get Out Of Your Mind,4,2,1.0,Rubberband,1
0162 Prometheus - One Cell Short Of A Brain,22,2,1.0,Bungee,1
0145 Man With No Name - Low Commotion,9,2,1.0,Rubberband,1
0145 Man With No Name - Low Commotion,9,2,1.0,Bungee,1
0147 Man With No Name - Dawn Chorus,14,4,1.0,Bungee,1
0147 Man With No Name - Dawn Chorus,14,4,1.0,Pedalboard,2
0147 Man With No Name - Dawn Chorus,14,4,1.0,Rubberband,3
0078 DooF - Let's Turn On (Original Mix),5,2,1.0,Pedalboard
